Saluki	56	Learn about Saluki
Samoyed	28	Learn about Samoyed
Sarplaninac	0	
Schipperke	91	Learn about Schipperke
Schnauzer	885	Learn about Schnauzer
Scottish Deerhound	5	Learn about Scottish Deerhound
Scottish Terrier Scottie	84	Learn about Scottish Terrier Scottie
Sealyham Terrier	0	Learn about Sealyham Terrier
Setter	58	
Shar Pei	1,061	Learn about Shar Pei
Sheep Dog	30	
Shepherd	6,421	Learn about Shepherd
Shetland Sheepdog Sheltie	301	Learn about Shetland Sheepdog Sheltie
Shiba Inu	218	Learn about Shiba Inu
Shih Tzu	1,591	Learn about Shih Tzu
Siberian Husky	1,067	Learn about Siberian Husky
Silky Terrier	96	Learn about Silky Terrier
Skye Terrier	5	Learn about Skye Terrier
Sloughi	1	
Smooth Collie	42	
Smooth Fox Terrier	24	Learn about Smooth Fox Terrier
South Russian Ovtcharka	0	
Spaniel	684	
Spanish Water Dog	0	
Spitz	107	
Staffordshire Bull Terrier	1,526	Learn about Staffordshire Bull Terrier
Standard Poodle	69	Learn about Standard Poodle
Standard Schnauzer	14	
Sussex Spaniel	0	Learn about Sussex Spaniel
Swedish Vallhund	3	
Thai Ridgeback	12	
Tibetan Mastiff	4	
Tibetan Spaniel	30	Learn about Tibetan Spaniel
Tibetan Terrier	39	Learn about Tibetan Terrier
Tosa Inu	4	Learn about Tosa Inu
Toy Fox Terrier	86	
Treeing Walker Coonhound	660	
Vizsla	189	Learn about Vizsla
Weimaraner	404	Learn about Weimaraner
Welsh Corgi	127	
Welsh Springer Spaniel	1	Learn about Welsh Springer Spaniel
Welsh Terrier	11	Learn about Welsh Terrier
West Highland White Terrier Westie	152	Learn about West Highland White Terrier Westie
Wheaten Terrier	82	Learn about Wheaten Terrier
Whippet	316	Learn about Whippet
White German Shepherd	68	Learn about White German Shepherd
Wire Fox Terrier	90	Learn about Wire Fox Terrier
Wirehaired Dachshund	18	
Wirehaired Pointing Griffon	15	Learn about Wirehaired Pointing Griffon
Wirehaired Terrier	251	
Xoloitzcuintle / Mexican Hairless	35	
Yellow Labrador Retriever	609	Learn about Yellow Labrador Retriever
Yorkshire Terrier Yorkie	1,176	Learn about Yorkshire Terrier Yorkie
